model,size ,x,y,f1_score,accuracy,precision,recall,训练参数,测试参数
Gemma,2,12,0.571428571,47.5,,76.92307692,0.571428571,"llamafactory-cli train \
    --stage sft \
    --do_train True \
    --model_name_or_path google/gemma-2b \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_train \
    --cutoff_len 1024 \
    --learning_rate 0.001 \
    --num_train_epochs 10.0 \
    --max_samples 100000 \
    --per_device_train_batch_size 2 \
    --gradient_accumulation_steps 16 \
    --lr_scheduler_type cosine \
    --max_grad_norm 1.0 \
    --logging_steps 5 \
    --save_steps 100 \
    --warmup_steps 0 \
    --optim adamw_torch \
    --packing False \
    --report_to none \
    --output_dir saves/Gemma-2B/lora/train_2024-07-07-08-51-0012 \
    --bf16 True \
    --plot_loss True \
    --ddp_timeout 180000000 \
    --include_num_input_tokens_seen True \
    --lora_rank 8 \
    --lora_alpha 16 \
    --lora_dropout 0 \
    --lora_target all","llamafactory-cli train \
    --stage sft \
    --model_name_or_path google/gemma-2b \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_test \
    --cutoff_len 1024 \
    --max_samples 100000 \
    --per_device_eval_batch_size 2 \
    --predict_with_generate True \
    --max_new_tokens 512 \
    --top_p 0.5 \
    --temperature 0.95 \
    --output_dir saves/Gemma-2B/lora/eval_2024-07-02-14-51-38 \
    --do_predict True \
    --adapter_name_or_path saves/Gemma-2B/lora/train_2024-07-02-14-51-38"
Gemma,2,8,0.571428571,47.5,,76.92307692,0.571428571,"llamafactory-cli train \
    --stage sft \
    --do_train True \
    --model_name_or_path google/gemma-2b \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_bit 8 \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_train \
    --cutoff_len 1024 \
    --learning_rate 0.001 \
    --num_train_epochs 10.0 \
    --max_samples 100000 \
    --per_device_train_batch_size 2 \
    --gradient_accumulation_steps 16 \
    --lr_scheduler_type cosine \
    --max_grad_norm 1.0 \
    --logging_steps 5 \
    --save_steps 100 \
    --warmup_steps 0 \
    --optim adamw_torch \
    --packing False \
    --report_to none \
    --output_dir saves/Gemma-2B/lora/train_2024-07-07-08-51-008 \
    --bf16 True \
    --plot_loss True \
    --ddp_timeout 180000000 \
    --include_num_input_tokens_seen True \
    --lora_rank 8 \
    --lora_alpha 16 \
    --lora_dropout 0 \
    --lora_target all","llamafactory-cli train \
    --stage sft \
    --model_name_or_path google/gemma-2b \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_bit 8 \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_test \
    --cutoff_len 1024 \
    --max_samples 100000 \
    --per_device_eval_batch_size 2 \
    --predict_with_generate True \
    --max_new_tokens 512 \
    --top_p 0.5 \
    --temperature 0.95 \
    --output_dir saves/Gemma-2B/lora/eval_2024-07-07-08-51-24 \
    --do_predict True \
    --adapter_name_or_path saves/Gemma-2B/lora/train_2024-07-07-08-51-008"
Gemma,2,4,0.571428571,47.5,,76.92307692,0.571428571,"llamafactory-cli train \
    --stage sft \
    --do_train True \
    --model_name_or_path google/gemma-7b \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_train \
    --cutoff_len 1024 \
    --learning_rate 0.001 \
    --num_train_epochs 20.0 \
    --max_samples 100000 \
    --per_device_train_batch_size 2 \
    --gradient_accumulation_steps 16 \
    --lr_scheduler_type cosine \
    --max_grad_norm 1.0 \
    --logging_steps 5 \
    --save_steps 100 \
    --warmup_steps 0 \
    --optim adamw_torch \
    --packing False \
    --report_to none \
    --output_dir saves/Gemma-7B/lora/train_2024-07-02-14-51-40 \
    --bf16 True \
    --plot_loss True \
    --ddp_timeout 180000000 \
    --include_num_input_tokens_seen True \
    --lora_rank 8 \
    --lora_alpha 16 \
    --lora_dropout 0 \
    --lora_target all","llamafactory-cli train \
    --stage sft \
    --model_name_or_path google/gemma-2b \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_bit 4 \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_test \
    --cutoff_len 1024 \
    --max_samples 100000 \
    --per_device_eval_batch_size 2 \
    --predict_with_generate True \
    --max_new_tokens 512 \
    --top_p 0.5 \
    --temperature 0.95 \
    --output_dir saves/Gemma-2B/lora/eval_2024-07-07-08-51-24 \
    --do_predict True \
    --adapter_name_or_path saves/Gemma-2B/lora/train_2024-07-07-08-51-004"
Gemma,7,4,0.642857143,62.56684492,,67.5,64.28571429,"llamafactory-cli train \
    --stage sft \
    --do_train True \
    --model_name_or_path google/gemma-7b \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_bit 4 \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_train \
    --cutoff_len 1024 \
    --learning_rate 0.001 \
    --num_train_epochs 10.0 \
    --max_samples 100000 \
    --per_device_train_batch_size 2 \
    --gradient_accumulation_steps 8 \
    --lr_scheduler_type cosine \
    --max_grad_norm 1.0 \
    --logging_steps 5 \
    --save_steps 100 \
    --warmup_steps 0 \
    --optim adamw_torch \
    --packing False \
    --report_to none \
    --output_dir saves/Gemma-7B/lora/train_2024-07-07-09-36-20 \
    --bf16 True \
    --plot_loss True \
    --ddp_timeout 180000000 \
    --include_num_input_tokens_seen True \
    --adapter_name_or_path saves/Gemma-7B/lora/train_2024-07-07-09-36-20 \
    --lora_rank 8 \
    --lora_alpha 16 \
    --lora_dropout 0 \
    --lora_target all","llamafactory-cli train \
    --stage sft \
    --model_name_or_path google/gemma-7b \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_bit 4 \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_test \
    --cutoff_len 1024 \
    --max_samples 100000 \
    --per_device_eval_batch_size 2 \
    --predict_with_generate True \
    --max_new_tokens 512 \
    --top_p 0.5 \
    --temperature 0.95 \
    --output_dir saves/Gemma-7B/lora/eval_2024-07-07-09-36-18 \
    --do_predict True \
    --adapter_name_or_path saves/Gemma-7B/lora/train_2024-07-07-09-36-20"
Gemma,7,8,0.285714286,27.08333333,,26.66666667,28.57142857,"llamafactory-cli train \
    --stage sft \
    --do_train True \
    --model_name_or_path google/gemma-7b \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_bit 8 \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_train \
    --cutoff_len 1024 \
    --learning_rate 0.001 \
    --num_train_epochs 10.0 \
    --max_samples 100000 \
    --per_device_train_batch_size 2 \
    --gradient_accumulation_steps 8 \
    --lr_scheduler_type cosine \
    --max_grad_norm 1.0 \
    --logging_steps 5 \
    --save_steps 100 \
    --warmup_steps 0 \
    --optim adamw_torch \
    --packing False \
    --report_to none \
    --output_dir saves/Gemma-7B/lora/train_2024-07-07-09-36-31 \
    --bf16 True \
    --plot_loss True \
    --ddp_timeout 180000000 \
    --include_num_input_tokens_seen True \
    --lora_rank 8 \
    --lora_alpha 16 \
    --lora_dropout 0 \
    --lora_target all","llamafactory-cli train \
    --stage sft \
    --model_name_or_path google/gemma-7b \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_bit 8 \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_test \
    --cutoff_len 1024 \
    --max_samples 100000 \
    --per_device_eval_batch_size 2 \
    --predict_with_generate True \
    --max_new_tokens 512 \
    --top_p 0.5 \
    --temperature 0.95 \
    --output_dir saves/Gemma-7B/lora/eval_2024-07-07-09-36-18 \
    --do_predict True \
    --adapter_name_or_path saves/Gemma-7B/lora/train_2024-07-07-09-36-31"
Gemma,7,12,0.642857143,59.06432749,,79.16666667,64.28571429,"llamafactory-cli train \
    --stage sft \
    --do_train True \
    --model_name_or_path google/gemma-7b \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_train \
    --cutoff_len 1024 \
    --learning_rate 0.001 \
    --num_train_epochs 10.0 \
    --max_samples 100000 \
    --per_device_train_batch_size 2 \
    --gradient_accumulation_steps 8 \
    --lr_scheduler_type cosine \
    --max_grad_norm 1.0 \
    --logging_steps 5 \
    --save_steps 100 \
    --warmup_steps 0 \
    --optim adamw_torch \
    --packing False \
    --report_to none \
    --output_dir saves/Gemma-7B/lora/train_2024-07-07-09-36-30 \
    --bf16 True \
    --plot_loss True \
    --ddp_timeout 180000000 \
    --include_num_input_tokens_seen True \
    --lora_rank 8 \
    --lora_alpha 16 \
    --lora_dropout 0 \
    --lora_target all","llamafactory-cli train \
    --stage sft \
    --model_name_or_path google/gemma-7b \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_test \
    --cutoff_len 1024 \
    --max_samples 100000 \
    --per_device_eval_batch_size 2 \
    --predict_with_generate True \
    --max_new_tokens 512 \
    --top_p 0.5 \
    --temperature 0.95 \
    --output_dir saves/Gemma-7B/lora/eval_2024-07-07-09-36-18 \
    --do_predict True \
    --adapter_name_or_path saves/Gemma-7B/lora/train_2024-07-07-09-36-30"
Qwen,1.8,12,0.714285714,68.88888889,0.714285714,81.81818182,71.42857143,"llamafactory-cli train \
    --stage sft \
    --do_train True \
    --model_name_or_path Qwen/Qwen-1_8B \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_train \
    --cutoff_len 1024 \
    --learning_rate 0.001 \
    --num_train_epochs 20.0 \
    --max_samples 100000 \
    --per_device_train_batch_size 2 \
    --gradient_accumulation_steps 8 \
    --lr_scheduler_type cosine \
    --max_grad_norm 1.0 \
    --logging_steps 5 \
    --save_steps 100 \
    --warmup_steps 0 \
    --optim adamw_torch \
    --packing False \
    --report_to none \
    --output_dir saves/Qwen-1.8B/lora/train_2024-07-06-12-16-05 \
    --bf16 True \
    --plot_loss True \
    --ddp_timeout 180000000 \
    --include_num_input_tokens_seen True \
    --lora_rank 8 \
    --lora_alpha 16 \
    --lora_dropout 0 \
    --lora_target all","llamafactory-cli train \
    --stage sft \
    --model_name_or_path Qwen/Qwen-1_8B \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_test \
    --cutoff_len 1024 \
    --max_samples 100000 \
    --per_device_eval_batch_size 2 \
    --predict_with_generate True \
    --max_new_tokens 512 \
    --top_p 0.5 \
    --temperature 0.95 \
    --output_dir saves/Qwen-1.8B/lora/eval_2024-07-06-12-16-05 \
    --do_predict True \
    --adapter_name_or_path saves/Qwen-1.8B/lora/train_2024-07-06-12-16-05"
Qwen,1.8,8,0.714285714,68.88888889,0.714285714,81.81818182,71.42857143,"llamafactory-cli train \
    --stage sft \
    --do_train True \
    --model_name_or_path Qwen/Qwen-1_8B \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_bit 8 \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_train \
    --cutoff_len 1024 \
    --learning_rate 0.001 \
    --num_train_epochs 20.0 \
    --max_samples 100000 \
    --per_device_train_batch_size 2 \
    --gradient_accumulation_steps 8 \
    --lr_scheduler_type cosine \
    --max_grad_norm 1.0 \
    --logging_steps 5 \
    --save_steps 100 \
    --warmup_steps 0 \
    --optim adamw_torch \
    --packing False \
    --report_to none \
    --output_dir saves/Qwen-1.8B/lora/train_2024-07-06-12-16-05 \
    --bf16 True \
    --plot_loss True \
    --ddp_timeout 180000000 \
    --include_num_input_tokens_seen True \
    --lora_rank 8 \
    --lora_alpha 16 \
    --lora_dropout 0 \
    --lora_target all","llamafactory-cli train \
    --stage sft \
    --model_name_or_path Qwen/Qwen-1_8B \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_bit 8 \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_test \
    --cutoff_len 1024 \
    --max_samples 100000 \
    --per_device_eval_batch_size 2 \
    --predict_with_generate True \
    --max_new_tokens 512 \
    --top_p 0.5 \
    --temperature 0.95 \
    --output_dir saves/Qwen-1.8B/lora/eval_2024-07-06-12-16-05 \
    --do_predict True \
    --adapter_name_or_path saves/Qwen-1.8B/lora/train_2024-07-06-12-16-06"
Qwen,1.8,4,0.642857143,64.1025641,0.642857143,64.58333333,64.28571429,"llamafactory-cli train \
    --stage sft \
    --do_train True \
    --model_name_or_path Qwen/Qwen-1_8B \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_bit 4 \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_train \
    --cutoff_len 1024 \
    --learning_rate 0.001 \
    --num_train_epochs 20.0 \
    --max_samples 100000 \
    --per_device_train_batch_size 2 \
    --gradient_accumulation_steps 8 \
    --lr_scheduler_type cosine \
    --max_grad_norm 1.0 \
    --logging_steps 5 \
    --save_steps 100 \
    --warmup_steps 0 \
    --optim adamw_torch \
    --packing False \
    --report_to none \
    --output_dir saves/Qwen-1.8B/lora/train_2024-07-06-12-16-07 \
    --bf16 True \
    --plot_loss True \
    --ddp_timeout 180000000 \
    --include_num_input_tokens_seen True \
    --lora_rank 8 \
    --lora_alpha 16 \
    --lora_dropout 0 \
    --lora_target all","llamafactory-cli train \
    --stage sft \
    --model_name_or_path Qwen/Qwen-1_8B \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_bit 4 \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_test \
    --cutoff_len 1024 \
    --max_samples 100000 \
    --per_device_eval_batch_size 2 \
    --predict_with_generate True \
    --max_new_tokens 512 \
    --top_p 0.5 \
    --temperature 0.95 \
    --output_dir saves/Qwen-1.8B/lora/eval_2024-07-06-12-16-07 \
    --do_predict True \
    --adapter_name_or_path saves/Qwen-1.8B/lora/train_2024-07-06-12-16-06"
Qwen,7,12,0.571428571,57.14285714,,57.14285714,57.14285714,"llamafactory-cli train \
    --stage sft \
    --do_train True \
    --model_name_or_path Qwen/Qwen-7B \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_train \
    --cutoff_len 1024 \
    --learning_rate 0.001 \
    --num_train_epochs 20.0 \
    --max_samples 100000 \
    --per_device_train_batch_size 2 \
    --gradient_accumulation_steps 8 \
    --lr_scheduler_type cosine \
    --max_grad_norm 1.0 \
    --logging_steps 5 \
    --save_steps 100 \
    --warmup_steps 0 \
    --optim adamw_torch \
    --packing False \
    --report_to none \
    --output_dir saves/Qwen-7B/lora/QWEN-7B-16 \
    --bf16 True \
    --plot_loss True \
    --ddp_timeout 180000000 \
    --include_num_input_tokens_seen True \
    --lora_rank 8 \
    --lora_alpha 16 \
    --lora_dropout 0 \
--lora_target all","llamafactory-cli train \
    --stage sft \
    --model_name_or_path Qwen/Qwen-7B \
    --preprocessing_num_workers 16 \
    --finetuning_type lora \
    --quantization_method bitsandbytes \
    --template default \
    --flash_attn auto \
    --dataset_dir data \
    --dataset Chinese_audioTotext_test \
    --cutoff_len 1024 \
    --max_samples 100000 \
    --per_device_eval_batch_size 2 \
    --predict_with_generate True \
    --max_new_tokens 512 \
    --top_p 0.5 \
    --temperature 0.95 \
    --output_dir saves/Qwen-7B/lora/eval_2024-07-07-10-58-39 \
    --do_predict True \
--adapter_name_or_path saves/Qwen-7B/lora/QWEN-7B-16"
